,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
821,HP,15s,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,68500,72000,4,4.5,134,22
822,Lenovo,Ideapad,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,0,Casual,14,1,No,No,73400,108590,32,0.0,0,0
823,Vaio,E,AMD,Ryzen 7,0,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,57990,76090,23,3.8,139,26
824,HP,Pavilion,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,2,Casual,14,1,No,Yes,79990,86352,7,3.5,23,6
825,HP,Pavilion,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,4,Gaming,15.6,1,No,Yes,84990,111108,23,2.8,4,2
826,MSI,Alpha,AMD,Ryzen 7,0,16,DDR4,1024,0,Windows,64-bit,8,Casual,15.6,1,No,No,99990,145990,31,4.7,108,24
827,ASUS,ROG,AMD,Ryzen 7,0,8,LPDDR4X,1024,0,Windows,64-bit,4,Casual,14,0,No,No,72990,123990,41,4.6,198,24
828,HP,HP,AMD,Ryzen 7,0,16,DDR4,1024,0,Windows,64-bit,0,ThinNlight,13.3,1,Yes,Yes,92990,112671,17,0.0,0,0
829,HP,Pavilion,AMD,Ryzen 7,0,16,DDR4,1024,0,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,84190,109566,23,0.0,0,0
830,ASUS,Zenbook,AMD,Ryzen 7,0,16,LPDDR4X,1024,0,Windows,64-bit,0,Casual,14,0,Yes,No,112990,140990,19,0.0,0,0
831,ASUS,ROG,AMD,Ryzen 7,0,4,DDR5,1024,0,Windows,32-bit,4,Casual,16,1,No,No,114990,145990,21,0.0,0,0
832,acer,Swift,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,4,Casual,16,1,No,No,99990,139999,28,0.0,0,0
833,ASUS,TUF,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,32-bit,4,Gaming,Missing,0,No,No,95990,105990,9,4.7,57,3
834,HP,OMEN,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,8,Casual,16,1,No,No,159990,186348,14,4.8,17,2
835,ASUS,ROG,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,76990,116990,34,0.0,0,0
836,Lenovo,Legion,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,6,Casual,16,1,No,Yes,130990,181890,27,0.0,0,0
837,ASUS,VivoBook,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,99990,137990,27,0.0,0,0
838,ASUS,ROG,AMD,Ryzen 7,0,4,DDR5,1024,0,Windows,64-bit,4,Casual,16,0,No,No,112990,142990,20,0.0,0,0
839,Lenovo,Ideapad,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,Yes,77988,117290,33,0.0,0,0
840,ASUS,ROG,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,76000,126990,40,5.0,1,1
841,ASUS,ROG,AMD,Ryzen 7,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,16,1,Yes,No,99990,162990,38,4.4,77,15
842,ASUS,Zephyrus,AMD,Ryzen 7,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,Missing,1,No,No,111000,137990,19,0.0,0,0
843,ASUS,Ryzen,AMD,Ryzen 7,0,16,LPDDR4X,1024,0,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,84970,110990,23,3.0,2,1
844,HP,Pavilion,AMD,Ryzen 7,0,16,DDR4,256,1024,Windows,64-bit,4,Gaming,15.6,1,No,Yes,75990,93564,18,4.5,1084,123
845,acer,Nitro,AMD,Ryzen 7,0,16,DDR4,256,1024,Windows,64-bit,6,Casual,15.6,1,No,No,89990,119990,25,4.4,272,36
846,acer,Nitro,AMD,Ryzen 7,0,16,DDR4,256,1024,Windows,64-bit,4,Casual,15.6,0,No,No,81990,119900,31,4.5,141,24
847,Lenovo,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,1024,Windows,32-bit,0,Casual,16,0,No,No,80490,118898,32,0.0,0,0
848,ASUS,ROG,AMD,Ryzen 9,0,16,DDR4,1024,0,Windows,64-bit,6,Casual,15.6,1,No,No,135990,183990,26,0.0,0,0
849,ASUS,ROG,AMD,Ryzen 9,0,16,DDR4,1024,0,Windows,32-bit,0,Casual,15.6,1,No,No,154990,207990,25,4.6,194,42
850,ASUS,ROG,AMD,Ryzen 9,0,16,DDR4,1024,0,Windows,64-bit,8,Casual,15.6,1,No,Yes,199990,259990,23,4.7,9,2
851,ASUS,ROG,AMD,Ryzen 9,0,16,DDR4,1024,0,Windows,64-bit,4,Casual,15.6,0,No,No,114990,162990,29,4.6,28,4
852,ASUS,ROG,AMD,Ryzen 9,0,16,DDR4,1024,0,Windows,64-bit,6,Casual,15.6,1,No,Yes,129990,187990,30,4.3,204,35
853,ASUS,ROG,AMD,Ryzen 9,0,16,LPDDR4X,1024,0,Windows,64-bit,4,Casual,13.4,1,Yes,Yes,114990,175990,34,4.3,32,6
854,MSI,Delta,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,0,No,No,146990,188990,22,0.0,0,0
855,ASUS,VivoBook,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,104990,142990,26,4.5,14,2
856,ASUS,ROG,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,16,1,Yes,No,114990,181990,36,4.7,14,1
857,ASUS,ROG,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,16,1,Yes,Yes,124990,175990,28,5.0,3,0
